nodeclaim,createdtime,nodepool,instancetypes,launchedtime,providerid,instancetype,zone,capacitytype,registeredtime,k8snodename,initializedtime,nodereadytime,nodereadytimesec,disruptiontime,disruptionreason,disruptiondecision,disruptednodecount,replacementnodecount,disruptedpodcount,annotationtime,annotation,interruptiontime,tainttime,taint,interruptionkind,deletedtime,nodeterminationtime,nodeterminationtimesec,nodelifecycletime,nodelifecycletimesec,initialized,deleted
spot-844xp,2025-02-07T14:49:55.680Z,spot,c6a.2xlarge|c6a.4xlarge|c6g.2xlarge|c6g.4xlarge|c6gd.2xlarge|and55others,2025-02-07T14:49:58.782Z,i-053025796dbce80a5,c6i.4xlarge,eu-west-1a,spot,2025-02-07T14:50:18.495Z,ip-192-168-39-96.eu-west-1.compute.internal,2025-02-07T14:51:14.271Z,1m18.591s,78.6,,,,,,,2025-02-07T15:15:46.329Z,karpenter.sh/nodeclaim-termination-timestamp:2025-02-07T17:15:46Z,,,2025-02-07T15:15:46.311Z,spot_interrupted,2025-02-07T15:17:38.431Z,1m52.102s,112.1,27m42.751s,1662.8,true,true
default-brbk4,2025-03-04T10:42:53.230Z,default,a1.large|a1.xlarge|c3.large|c4.large|c5.large|and55others,,,,,,,,,0s,0.0,,,,,,,,,,,,,2025-03-04T10:51:38.131Z,0s,0.0,8m44.901s,524.9,false,true
default-lpc62,2025-03-04T10:52:34.876Z,default,a1.large|a1.xlarge|c3.large|c4.large|c5.large|and55others,2025-03-04T10:52:37.374Z,i-01b7f45e2ebdb8bba,t3a.small,eu-west-1a,on-demand,2025-03-04T10:53:04.043Z,ip-192-168-103-49.eu-west-1.compute.internal,2025-03-04T10:53:25.811Z,50.935s,50.9,,,,,,,,,2025-03-04T11:00:49.855Z,,,,2025-03-04T11:00:52.639Z,0s,0.0,8m17.763s,497.8,true,true
default-j4lj7,2025-03-04T11:04:32.927Z,default,a1.large|c1.medium|c3.large|c4.large|c5.large|and55others,2025-03-04T11:04:35.818Z,i-04056a953424f6c80,t3.small,eu-west-1b,spot,2025-03-04T11:04:57.579Z,ip-192-168-159-11.eu-west-1.compute.internal,2025-03-04T11:05:16.544Z,43.617s,43.6,,,,,,,,,2025-03-04T11:12:56.430Z,,,,2025-03-04T11:12:56.999Z,0s,0.0,8m24.072s,504.1,true,true
default-mpz2w,2025-03-04T11:12:58.479Z,default,a1.large|c1.medium|c3.large|c4.large|c5.large|and55others,2025-03-04T11:13:01.287Z,i-02e46e80c1649a960,t3.small,eu-west-1b,spot,2025-03-04T11:13:22.396Z,ip-192-168-152-77.eu-west-1.compute.internal,2025-03-04T11:13:44.756Z,46.277s,46.3,,,,,,,,,2025-03-04T11:18:52.492Z,,,,2025-03-04T11:18:54.219Z,0s,0.0,5m55.74s,355.7,true,true
default-8sxj9,2025-03-04T15:00:22.872Z,default,a1.2xlarge|c1.xlarge|c3.2xlarge|c4.2xlarge|c5.2xlarge|and55others,2025-03-04T15:00:25.659Z,i-0525e65b143c46c90,t3.2xlarge,eu-west-1a,spot,2025-03-04T15:00:48.069Z,ip-192-168-103-109.eu-west-1.compute.internal,2025-03-04T15:00:59.586Z,36.714s,36.7,,,,,,,,,2025-03-04T15:07:04.917Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-04T15:07:11.002Z,0s,0.0,6m48.13s,408.1,true,true
default-zgb22,2025-03-04T15:07:07.255Z,default,a1.2xlarge|c1.xlarge|c3.2xlarge|c4.2xlarge|c5.2xlarge|and55others,2025-03-04T15:07:10.654Z,i-053bd7e7ee5605ed8,t3.2xlarge,eu-west-1a,spot,2025-03-04T15:07:31.022Z,ip-192-168-101-170.eu-west-1.compute.internal,2025-03-04T15:07:42.263Z,35.008s,35.0,,,,,,,,,,,,,,0s,0.0,0s,0.0,true,false
local-storage-raid-al2023-kdsvk,2025-03-10T13:08:43.361Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.xlarge|c5d.2xlarge|c6gd.2xlarge|c6gd.4xlarge|and55others,2025-03-10T13:08:45.466Z,i-02d82f4cb7fa217a9,c7gd.large,eu-west-1c,spot,2025-03-10T13:09:04.953Z,ip-10-0-161-204.eu-west-1.compute.internal,2025-03-10T13:09:25.200Z,41.839s,41.8,2025-03-10T13:14:45.729Z,empty,delete,1,0,0,2025-03-10T13:14:46.176Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-11T13:14:46Z,2025-03-10T13:14:46.228Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-10T13:16:20.305Z,1m34.129s,94.1,7m36.944s,456.9,true,true
local-storage-raid-al2023-tq7v5,2025-03-10T13:16:50.090Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.xlarge|c5d.2xlarge|c6gd.2xlarge|c6gd.large|and55others,2025-03-10T13:16:52.245Z,i-0a56fd39574117238,c7gd.large,eu-west-1b,spot,2025-03-10T13:17:13.280Z,ip-10-0-109-76.eu-west-1.compute.internal,2025-03-10T13:17:34.012Z,43.922s,43.9,,,,,,,2025-03-10T13:21:50.065Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-11T13:21:50Z,2025-03-10T13:21:50.114Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-10T13:23:14.892Z,1m24.827s,84.8,6m24.802s,384.8,true,true
local-storage-raid-al2023-9kx8z,2025-03-10T13:21:51.685Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.xlarge|c5d.2xlarge|c6gd.2xlarge|c6gd.large|and55others,2025-03-10T13:21:54.065Z,i-09af71894b8d6ffe9,m6gd.large,eu-west-1a,spot,2025-03-10T13:22:15.134Z,ip-10-0-48-174.eu-west-1.compute.internal,2025-03-10T13:22:40.466Z,48.781s,48.8,,,,,,,2025-03-10T13:26:51.063Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-11T13:26:51Z,2025-03-10T13:26:51.114Z,karpenter.sh/disrupted::NoSchedule,,,,0s,0.0,0s,0.0,true,false
local-storage-raid-al2023-jx2t7,2025-03-10T13:26:53.230Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.xlarge|c5d.2xlarge|c6gd.2xlarge|c6gd.large|and55others,2025-03-10T13:26:55.555Z,i-04c4ce6f8c1a7e617,c7gd.large,eu-west-1b,spot,,,,0s,0.0,,,,,,,,,,,,,,0s,0.0,0s,0.0,false,false
